Category,Supporting Ministry,Community,Project,Status,Target Completion Date,Description,Result,Area,Region,Address,Postal Code,Highway / Transit Line,Estimated Total Budget,Municipal Funding,Provincial Funding,Federal Funding,Other Funding,Website,Latitude,Longitude,Geometry
Roads and bridges,Infrastructure,Beausoleil First Nation,Upgrading of Roadways in Beausoleil First Nation,Planning,2021,"The upgrading of approximately 17 kilometres of roads to include sidewalks, ditches, and rehabilitated road surfaces will improve traffic flow, travel conditions and accessibility for motorists and pedestrians.",,,Central,11 O'gemaa Miikaan,L9M0A9,,"$4,666,500 ",Yes,Yes,Yes,,,44.820637,-80.173754,
Education,Education,Belleville,Easthill Public Elementary School,Under construction,23-Sep,Construction of new school,"New facility to accommodate 472 students as a result of a consolidation, including the construction of 49 child care spaces ",Hastings,East,135 MACDONALD AVE,K8N 3Y4,,"$15,579,580 ",,Yes,,Yes,,44.16537738,-77.36440996,
Education,Education,Belleville,Eastside Public Secondary School,Planning,24-Sep,Expansion of existing school,New classroom addition of 189 pupil places to accommodate students as a result of consolidation,Hastings,East,275 FARLEY AVE,K8N 4M2,,"$7,890,201 ",,Yes,,,,44.17543,-77.35201,
Education,Education,Belleville,St. Joseph Catholic Elementary School,Under construction,23-Sep,Expansion of existing school,"New classroom addition of 334 pupil places for a growing school, including 49 child care spaces and 2 EarlyON rooms",Hastings,East,405 BRIDGE ST E,K8N 1P7,,"$15,622,508 ",,Yes,,Yes,,44.16896,-77.35838,
Broadband,Infrastructure,Belleville,Eastern Ontario Regional Network (EORN) Cellular Gap Project,Under construction,25-Aug,"Description: A regional project adding new cellular infrastructure to increase network coverage and capacity across eastern Ontario. Note that the funding listed below is for the entire project, not just this municipality. ","Expanding reliable cellular services which are essential to support economic development, improve public safety and connect with others",Hastings,East,,,,"$300,000,000 ",Yes,Yes,Yes,Yes,https://www.eorn.ca/en/projects/improving-cell-service.aspx,44.16275,-77.383279,
Communities,Infrastructure,Belleville,Cannifton Stormwater Pumping Station,Planning,22-Dec,"Install numerous additions to the station including two submersible pumps, wet well hatches and rails, a flow meter and control panel, and a new roof.","Improve the station's service reliability, and ability to remove stormwater to prevent flooding.",Hastings,East,City Hall  169 Front Street/Rue,K8N2Y8,,"$1,030,287 ",Yes,Yes,Yes,,,44.177731,-77.378813,
Recreation,Infrastructure,Belleville,YMCA Centre for Life in Belleville,Planning,26-Sep,"The new multi-purpose facility will include two pools, a gymnasium, an exercise studio, a conditioning centre with focus on youth and senior programing, and locker rooms with universal and family change rooms. Furthermore, the facility will house social and educational community programming and meeting areas, including spaces for those with physical and mental disabilities.","Once complete, the new YMCA Centre for Life will enable the YMCA of Central East Ontario and its partners to increase access to fitness, recreation, and community services for Belleville residents and those in the Quinte region. The facility will provide greater access to modern and affordable recreation and community services, while creating a welcoming and respectful space for all members of the community.",Hastings,East,123 Aylmer Street South,K9J3H8,,"$22,492,620 ",,Yes,Yes,Yes,https://www.news.ontario.ca/en/release/1000272/canada-and-ontario-partner-with-the-ymca-of-central-east-ontario-to-invest-over-224-million-in-the-ymca-centre-for-life-in-belleville,44.1606,-77.4032,
Communities,Transportation,Belleville,Electric Vehicle Charging Station at Tim Horton's,Planning,To Be Determined,Installation of an electric vehicle charging station,1 Level 3 charging station,Hastings,East,218 Bell Blvd,,,0,,,,,,44.18597,-77.40783,
Roads and bridges,Transportation,Belleville,Bridge rehabilitation,Planning,2022,Rehabilitate the Saganoska Bridge,,Hastings,East,,,Highway 62,"$3,000,000 ",,Yes,,,https://www.news.ontario.ca/mto/en/2019/07/connecting-links-funding-by-municipality-3.html,44.170008,-77.385638,
Transit,Transportation,Belleville,North East Industrial Park Active Transportation and Transit Shelters,Under construction,2021,"The expansion of public transit and active transportation infrastructure in Belleville’s North East Industrial Park. The construction of 3 three kilometers of new sidewalk and a 1 one-kilometer kilometre accessible multi-use path will provide commuters with direct access to the city’s public transit system. The addition of 17 new bus stops and 8 eight transit shelters, all fully accessible, will help meet the growing needs of transit users in this busy commercial area.",The project will help meet the growing needs of transit users in this busy commercial area.,Hastings,East,,,,"$2,400,110 ",Yes,Yes,Yes,,,,,
Transit,Transportation,Belleville,New Bus Purchase,Planning,2021,Purchase four new buses.,Increased service levels on the busiest bus routes and expanded service to underserved areas of the city.,Hastings,East,,,,"$3,330,600 ",Yes,Yes,Yes,,,,,
Recreation,"Tourism, Culture and Sport",Billings,Billings Tp,Under construction,23-Feb,"Our Municipality, with a $500,000 Community Building Fund – Capital stream grant over 12 months, will address a community need by building a new pedestrian bridge and realigning the river trail system to allow full access to the trails on both sides of the river. ",,Manitoulin,Northeast,39 Henry Drive,P0P 1J0,,"$500,000 ",,Yes,,,,45.907151,-82.257376,
Roads and bridges,Infrastructure,Blandford-Blenheim,Reconstruction of Bridge 24 over the Nith River,Planning,26-Jun,"The reconstruction of Bridge 24 on Township Road 12, west of Blenheim Road includes the replacement of the existing structure with a new concrete bridge.",This new bridge will improve public safety and traffic flow.,Oxford,Southwest,47 Wilmot Street/Rue South/Sud,N0J1G0,,"$3,281,119 ",Yes,Yes,Yes,,,43.301956,-80.547085,
Education,Education,Blind River,Blind River Public Elementary and Secondary School,Planning,23-Sep,Construction of new school,"New facility to accommodate 381 students as a result of a consolidation, including the construction of 64 child care spaces and of 2 EarlyON rooms",Algoma,Northeast,180 YOUNGFOX RD,P0R 1B0,,"$17,194,265 ",,Yes,,,,46.18326,-82.97448,
Education,Education,Blind River,école élémentaire publique Blind River,Planning,24-Sep,Construction of new school,New facility to accommodate 72 underserved French-language students,Algoma,Northeast,180 YOUNGFOX RD,P0R 1B0,,"$2,060,336 ",,Yes,,,,46.18326,-82.97448,
Roads and bridges,Infrastructure,Bluewater,"Replacement of Bridge B35 - Airport Line, North of County Road #83",Planning,22-Dec,"The replacement and widening of a bridge located on Airport Line will improve safety, reliability and reduce service interruptions.",,Huron,Southwest,14 Mill Avenue,N0M2T0,,"$2,012,919 ",Yes,Yes,Yes,,,43.36214,-81.50944,
Recreation,"Tourism, Culture and Sport",Bonfield,Bonfield Tp,Under construction,23-Mar,"Our Municipality, with a $123,500 Community Building Fund – Capital stream grant over 12 months, will address a community need by installing sun and rain protection curtains to ensure safe conditions for year-round covered rink and skateboarding use. ",,Nipissing,Northeast,365 Highway 531,P0H 1E0,,"$123,500 ",,Yes,,,,46.23893,-79.15031,
Communities,Infrastructure,Bracebridge,Multi-Use Community Centre in Bracebridge,Planning,2022,"The new centre will include a 1,000-seat arena, a modern public library, a shared community hall, an accessible indoor multi-use field house, a common lobby area and ample on-site parking.",,Muskoka,Central,1000 Taylor Court,P1L1R6,,"$49,107,274 ",Yes,Yes,Yes,,https://www.news.ontario.ca/en/release/1000421/ontario-investing-over-16-million-in-a-multi-use-community-centre-in-bracebridge,45.0402,-79.3274,
Communities,Municipal Affairs and Housing,Bracebridge,Affordable Housing,Under construction,23-Jan,12 units geared towards homeless at 49 Pine Street,Apartments with bedroom/unit geared towards homeless,Muskoka,Central,49 Pine Street,P1L 1K8,,"$1,500,000 ",Yes,Yes,,,,45.05325,-79.300463,
Education,Education,Bradford-West Gwillimbury,St. Charles Catholic Elementary School,Under construction,2022,Construction of new school,"New facility to accommodate 470 students in a growing community, including the construction of 49 child care spaces",Simcoe,Central,691 SIMCOE RD,L3Z 4B4,,"$18,244,650 ",,Yes,,Yes,,44.093307,-79.567127,
Education,Education,Bradford-West Gwillimbury,Bradford North Public Elementary School,Under construction,2022,Construction of new school,"New facility to accommodate 501 students in a growing community, including the construction of 39 child care spaces ",Simcoe,Central,400 CROSSLAND BLVD,L3Z 0G8,,"$13,761,814 ",,Yes,,Yes,,44.12404872,-79.59092433,
Education,Education,Bradford-West Gwillimbury,Bradford South Public Elementary School,Under construction,2022,Construction of new school,New facility to accommodate 593 students in a growing community,Simcoe,Central,742 SIMCOE RD,L3Z 2A6,,"$15,949,054 ",,Yes,,Yes,,44.0910978,-79.56699279,
Education,Education,Bradford-West Gwillimbury,Queensville Public Elementary School,Planning,26-Sep,Construction of new school,"New facility to accommodate 638 students in a growing community, including the construction of 39 child care spaces",Simcoe,Central,TBD,L9N 0R8,,"$17,994,416 ",,Yes,,,,,,
Education,Education,Bradford-West Gwillimbury,Bradford Catholic Elementary School,Planning,26-Sep,Construction of new school,"New facility to accommodate 516 students in a growing community, including the construction of 49 child care spaces",Simcoe,Central,TBD,L3Z 0G4,,"$16,311,549 ",,Yes,,,,,,
Communities,Attorney General,Brampton,Brampton (A. Grenville and William Davis) Courthouse Addition - Phase 2,Under construction,23-Oct,"Fit-out of the top four floors of the building addition, as well as renovations to the Land Registry Office. This project is being  delivered  with the Toronto Region Bail Centre as a P3 bundle, and the project budget of $82.3M includes both projects.","Increased number of courtrooms and associated administrative spaces, as well as additional judicial parking spaces.",Peel,Central,7755 Hurontario Street,L6W 4T1,,"$82,500,000 ",,Yes,,,,43.661701,-79.726047,
Child care,Education,Brampton,Massey Public Elementary School,Under construction,23-Jan,Renovation of existing school,Renovation to accommodate 49 child care spaces,Peel,Central,95 MASSEY ST,L6S 3A3,,"$1,994,793 ",,Yes,,,,43.73791,-79.74674,
Child care,Education,Brampton,Shaw Public Elementary School,Under construction,23-Sep,Renovation of existing school,Renovation to accommodate 49 child care spaces,Peel,Central,10 FATHER TOBIN RD,L6R 3K2,,"$1,536,658 ",,Yes,,,,43.77533,-79.75133,
Child care,Education,Brampton,école élémentaire publique Carrefour-des-jeunes,Under construction,2022,Expansion of existing school,Addition to accommodate 49 child care spaces and 1 EarlyON room,Peel,Central,375 CENTRE ST N,L6V 4N4,,"$3,264,680 ",,Yes,,Yes,,43.70714,-79.77187,
Child care,Education,Brampton,Holy Spirit Catholic Elementary School,Under construction,2022,Renovation of existing school,Renovation to accommodate 49 child care spaces,Peel,Central,25 BLOOMSBURY AVE,L6P 1W9,,"$1,700,591 ",,Yes,,,,43.78429,-79.72915,
Child care,Education,Brampton,Agnes Taylor Public Elementary School,Planning,2022,Expansion of existing school,Addition to accommodate 73 child care spaces,Peel,Central,80 BEECH ST,L6V 1V6,,"$2,139,296 ",,Yes,,,,43.69775,-79.75727,
Education,Education,Brampton,Malala Yousafzai Public Elementary School,Planning,23-Sep,Construction of new school,"New facility to accommodate 850 students in a growing community, including the construction of 73 child care spaces",Peel,Central,565 REMEMBRANCE RD,L7A 4L2,,"$20,002,423 ",,Yes,,,,43.71520452,-79.83209443,
Education,Education,Brampton,école secondaire publique Jeunes sans frontières,Under construction,2022,Expansion of existing school,New classroom addition of 216 pupil places for a growing school,Peel,Central,7585 FINANCIAL DR,L6Y 5P4,,"$6,186,324 ",,Yes,,,,43.62453268,-79.75810334,
Education,Education,Brampton,école secondaire catholique Brampton,Planning,25-Sep,Construction of new school,New facility to accommodate 410 students in a growing community,Peel,Central,TBD,TBD,,"$13,630,094 ",,Yes,,,,,,
Education,Education,Brampton,Mount Pleasant 9 Public Elementary School,Planning,24-Mar,Construction of new school,"New facility to accommodate 850 students in a growing community, including the construction of 73 child care spaces",Peel,Central,CHINGUACOUSY RD / MAYFIELD RD,,,"$20,002,423 ",,Yes,,,,43.714089,-79.84613,
Education,Education,Brampton,St. Leonard Catholic Elemenary School,Planning,23-Jan,Expansion of existing school,New classroom addition of 92 pupil places for a growing school,Peel,Central,185 CONESTOGA DR,L6Z 2Z7,,"$3,200,000 ",,Yes,,,,43.72315,-79.79034,
Education,Education,Brampton,Mount Pleasant Catholic Elementary School,Planning,23-Sep,Construction of new school,"New facility to accommodate 435 students in a growing community, including the construction of 73 child care spaces",Peel,Central,ROBERT PARKINSON DR / SEINCLIFF RD,,,"$12,437,003 ",,Yes,,,,43.69691558,-79.85199383,
Education,Education,Brampton,St. Anne Catholic Elementary School,Planning,26-Sep,Construction of new school,New replacement facility to accommodate 504 students,Peel,Central,TBD,L6V 1M5,,"$13,419,501 ",,Yes,,,,,,
Health care,Health,Brampton,William Osler Health System - Peel Memorial Centre for Integrated Health Wellness – Phase 2 Redevelopment Lynch Site,Planning,28-Dec,Construction of an addition to the newly built Phase 1 facility to accommodate non-acute inpatient services including complex continuing care and rehabilitation beds. William Osler Health System is planning to provide post-acute care at Peel Memorial Hospital for patients recovering from an acute care stay before they safely return home. Bringing this specialized care to Peel Memorial will enable more acute care beds to be added to Brampton Civic Hospital. ,Service expansion and Improved access to upgraded and modernized facilities.,Peel,Central,20 Lynch St,L6W 2Z8,,0,,Yes,,Yes,,43.690271,-79.751051,
